,basket_size_observe,n,Hit@1,Hit@5,MRR
0,1,22732,0.845328171740278,0.9667869083230688,0.8954197263544785
1,2,5169,0.7736506094022054,0.9493132133875024,0.842413858119621
2,3,916,0.5786026200873362,0.8941048034934498,0.7110724337525648
3,4,215,0.5534883720930233,0.9255813953488372,0.7236083941897895
