depth,learning_rate,Hit@1,Hit@3
4,0.05,0.8558434872146903,0.9555517418911962
4,0.1,0.8582460957611121,0.957954350437618
6,0.05,0.8609919340998798,0.9570962759567531
6,0.1,0.8582460957611121,0.956581431268234
8,0.05,0.8604770894113609,0.958125965333791
8,0.1,0.8570447914879011,0.9560665865797151
